"Title","Author","Pub","Demo","Vols","Series","Sold","SaleVol","Run","Digi","Tele","No. Votes","No. Seen","Bayes. Estimate","Serielized"
"20th Century Boys (manga)","Naoki Urasawa",2,1,22,7,36,1.63,0,0,0,"621","1019","8.995718002319336","1999-2006"
"Ace of Diamond (manga)","Yuji Terajima",1,0,71,16,40,0.56,1,0,0,"9","63","7.568561553955078","2006-present"
"Ahiru no Sora (manga)","Hinata Takeshi",1,0,51,15,24,0.47,0,0,0,"4","41","7.354550361633301","2004-2019 "
"Ashita no Joe (manga)","Ikki Kajiwara, Tetsuya Chiba",1,0,20,5,25,1.25,0,0,0,"25","58","8.544483184814453","1968-1973"
"Assassination Classroom (manga)","Yūsei Matsui",3,0,21,4,25,1.19,0,0,1,"59","170","7.971098899841309","2012-2016"
"Astro Boy (manga)","Osamu Tezuka",0,0,23,16,100,4.35,0,0,1,"78","287","6.905553340911865","1952-1968"
"Attack on Titan (manga)","Hajime Isayama",1,0,34,12,110,3.23,0,1,1,"247","741","8.341571807861328","2009-2021"
"Bad Boys (manga)","Hiroshi Tanaka",0,1,22,8,55,2.5,0,0,0,"1","4","-1","1988-1996"
"Bastard!! (manga)","Kazushi Hagiwara",3,0,27,24,30,1.11,0,0,1,"109","326","6.957803726196289","1988-2012  "
"Berserk (manga)","Kentaro Miura, Kōji Mori, Studio Gaga",0,1,41,33,50,1.25,1,1,1,"1408","2569","9.240950584411621","1989-present"
"Black Butler (manga)","Yana Toboso",0,0,32,16,32,1,1,0,1,"227","790","8.30747127532959","2006-present"
"Black Jack (manga)","Osamu Tezuka",0,0,25,10,45.64,1.83,0,0,1,"119","310","8.475663185119629","1973-1983"
"Bleach (manga)","Tite Kubo",3,0,74,15,130,1.75,0,0,1,"1951","4792","8.011082649230957","2001-2016"
"Boys Over Flowers (manga)","Yoko Kamio",3,2,37,11,61,1.64,0,0,1,"296","833","7.737627029418945","1992-2003"
"Buddha (manga)","Osamu Tezuka",0,1,14,11,20,1.42,0,0,0,"130","255","8.73001480102539","1972-1983"
"Captain Tsubasa (manga)","Yōichi Takahashi",3,0,96,41,80,0.83,1,0,0,"31","85","6.99310302734375","1981-present"
"Cat's Eye (manga)","Tsukasa Hojo",3,0,18,3,20,1.11,0,0,0,"16","54","7.288959503173828","1981-1984"
"Chainsaw Man (manga)","Tatsuki Fujimoto",3,0,12,4,20,1.66,1,0,1,"45","86","8.086163520812988","2018-present"
"Chameleon (manga)","Atsushi Kase",1,0,47,9,30,0.63,0,0,1,"1","1","-1","1990-1999"
"Chibi Maruko-chan (manga)","Momoko Sakura",3,2,17,32,32.5,1.91,0,1,0,"10","69","7.510428428649902","1986-2018"
"Chihayafuru (manga)","Yuki Suetsugu",1,2,50,15,27,0.53,0,0,0,"18","71","8.264399528503418","2007-2022"
"City Hunter (manga)","Tsukasa Hojo",3,0,35,6,50,1.42,0,0,0,"65","177","7.641325950622559","1985-1991"
"Cooking Papa (manga)","Tochi Ueyama",1,1,158,37,36,0.22,1,0,0,"2","11","-1","1985-present"
"Crayon Shinchan (manga)","Yoshito Usui, UY Team",0,1,61,32,148,2.55,1,0,0,"61","177","7.376001358032227","1990�present"
"Crows (manga)","Hiroshi Takahashi",0,0,26,8,46,1.76,0,0,0,"21","77","7.7509918212890625","1990-1998"
"D.Gray-man (manga)","Katsura Hoshino",3,0,27,18,25,0.92,1,0,0,"592","1627","8.027653694152832","2004-present"
"Dear Boys (manga)","Hiroki Yagami",1,0,81,33,45,0.55,1,0,0,"10","100","6.769285678863525","1989-present"
