ID,Title,Author,Pub,Demo,Vols,Series,Sold,SaleVol,Run,Digi,Tele
1,One Piece,Eiichiro Oda,3,0,103,25,516.6,5.02,1,0,1
2,Dragon Ball,Akira Toriyama,3,0,42,11,350,8.33,0,0,1
3,Golgo 13,"Takao Saito, Saito Production",2,1,205,54,300,1.46,1,0,1
4,Detective Conan,Gosho Aoyama,2,0,101,28,250,2.5,1,0,1
5,Doraemon,Fujiko F. Fujio,2,2,51,27,250,4.71,0,0,1
6,Naruto,Masashi Kishimoto,3,0,72,15,250,3.47,0,0,1
7,Slam Dunk,Takehiko Inoue,3,0,31,6,170,5.48,0,0,1
8,KochiKame: Tokyo Beat Cops,Osamu Akimoto,3,0,201,40,156.5,0.78,0,0,1
9,Demon Slayer: Kimetsu no Yaiba,Koyoharu Gotouge,3,0,23,4,150,6.52,0,1,1
10,Crayon Shin-chan,"Yoshito Usui, UY Team",0,1,61,32,148,2.55,1,0,0
11,Oishinbo,"Tetsu Kariya, Akira Hanasaki",2,1,111,31,135,1.22,0,0,0
12,Bleach,Tite Kubo,3,0,74,15,130,1.75,0,0,1
13,JoJo's Bizarre Adventure,Hirohiko Araki,3,0,131,35,120,0.92,1,0,1
14,Attack on Titan,Hajime Isayama,1,0,34,12,110,3.23,0,1,1
15,Astro Boy,Osamu Tezuka,0,0,23,16,100,4.35,0,0,1
16,Fist of the North Star,"Buronson, Tetsuo Hara",3,0,27,5,100,3.7,0,0,0
17,Hajime no Ippo,George Morikawa,1,0,134,33,100,0.74,1,0,0
18,The Kindaichi Case Files,"Yōzaburō Kanari, Seimaru Amagi, Fumiya Satō",1,0,87,30,100,1.15,1,0,0
19,Touch,Mitsuru Adachi,2,0,26,5,100,3.85,0,0,0
20,Kingdom,Yasuhisa Hara,3,1,66,16,92,1.39,1,1,0
21,Sazae-san,Machiko Hasegawa,1,2,45,28,86,1.91,0,0,0
22,Baki the Grappler,Keisuke Itagaki,0,0,143,31,85,0.59,1,0,1
23,Hunter x Hunter,Yoshihiro Togashi,3,0,36,24,84,2.33,1,0,1
24,Vagabond,Takehiko Inoue,1,1,37,17,82,2.21,0,0,0
25,Captain Tsubasa,Yōichi Takahashi,3,0,96,41,80,0.83,1,0,0
26,Fullmetal Alchemist,Hiromu Arakawa,0,0,27,9,80,2.96,0,0,1
27,Sangokushi,Mitsuteru Yokoyama,0,0,60,15,80,1.33,0,0,0
28,Kinnikuman,Yudetamago,3,0,76,19,77,1.01,1,0,0
29,Fairy Tail,Hiro Mashima,1,0,63,11,72,1.14,0,0,0
30,Rurouni Kenshin,Nobuhiro Watsuki,3,0,28,5,72,2.57,0,1,0
31,Jujutsu Kaisen,Gege Akutami,3,0,21,4,70,3.33,1,1,1
32,My Hero Academia,Kōhei Horikoshi,3,0,34,8,65,1.91,1,1,1
33,Tokyo Revengers,Ken Wakui,1,0,28,5,65,2.32,1,1,1
34,Boys Over Flowers,Yoko Kamio,3,2,37,11,61,1.64,0,0,1
35,Major,Takuya Mitsuda,2,0,101,28,60.5,0.59,1,0,0
36,The Prince of Tennis,Takeshi Konomi,3,0,42,9,60,1.42,0,0,0
37,Rokudenashi Blues,Masanori Morita,3,0,42,9,60,1.42,0,0,0
38,Initial D,Shuichi Shigeno,1,1,48,18,56,1.16,0,0,0
39,Gin Tama,Hideaki Sorachi,3,0,77,16,55.5,0.72,0,0,0
40,Bad Boys,Hiroshi Tanaka,0,1,22,8,55,2.5,0,0,0
41,H2,Mitsuru Adachi,2,0,34,7,55,1.61,0,0,0
42,Haikyu!!,Haruichi Furudate,3,0,45,8,55,1.22,0,0,0
43,Ranma �,Rumiko Takahashi,2,0,38,9,55,1.44,0,0,0
44,Minami no Teio,"Dai Tennōji, Rikiya Gō",0,0,159,30,53,0.33,1,0,0
45,Berserk,"Kentaro Miura, Kōji Mori, Studio Gaga",0,1,41,33,50,1.25,1,1,1
46,City Hunter,Tsukasa Hojo,3,0,35,6,50,1.42,0,0,0
47,Cobra,Buichi Terasawa,3,0,18,6,50,2.77,0,0,0
48,Devilman,Go Nagai,1,0,5,1,50,10,0,0,0
49,Fisherman Sanpei,Takao Yaguchi,1,0,65,10,50,0.76,0,0,0
50,Glass Mask,Suzue Miuchi,0,2,49,36,50,1.02,0,0,0
51,Great Teacher Onizuka,Tooru Fujisawa,1,0,25,5,50,2,0,0,1
52,Inuyasha,Rumiko Takahashi,2,0,56,12,50,0.89,0,0,0
53,Nana,Ai Yazawa,3,2,21,9,50,2.38,0,0,0
54,Saint Seiya,Masami Kurumada,3,0,28,4,50,1.78,0,0,0
55,Shoot!,Tsukasa Ōshima,1,0,33,13,50,1.51,0,0,0
56,YuYu Hakusho,Yoshihiro Togashi,3,0,19,4,50,2.63,0,0,0
57,Dokaben,Shinji Mizushima,0,0,48,9,48,1,0,0,0
