Title,Author,Pub,Demo,Vols,Series,Sold,SaleVol,Run,Digi,Tele,No..Votes,No..Seen,Bayes..Estimate,Serielized,Plot,Genre,Themes
20th Century Boys (manga),Naoki Urasawa,2,1,22,7,36,1.63,0,0,0,621,1019,8.995718002,1999-2006,"Kenji and his friends start to notice a series of odd occurences related to their childhood. A mysterious cult-leader named ""friend"" is out to destroy the world, and it has something to do with Kenji's childhood memories.","drama , mystery , psychological","amnesia , coming of age , conspiracy"
Ace of Diamond (manga),Yuji Terajima,1,0,71,16,40,0.56,1,0,0,9,63,7.568561554,2006-present,"It is a manga of high school baseball. The main character, who is a pitcher from a country high school, accidentally gets teamed up with a catcher from a school with an elite baseball team. He decides to quit his school to attend the school that this catcher plays.....","comedy , drama , tournament","baseball , school , sports"
Ahiru no Sora (manga),Hinata Takeshi,1,0,51,15,24,0.47,0,0,0,4,41,7.354550362,2004-2019 ,"He’s short, weak, and has just transfered to a new school. Kurumatani Sora is the main character in this story who loves basketball. He has been shooting hoops ever since he was little and has been trying to grow tall just like his mother, who “used” to be a basketball player.","drama , tournament","basketball , school"
Ashita no Joe (manga),"Ikki Kajiwara, Tetsuya Chiba",1,0,20,5,25,1.25,0,0,0,25,58,8.544483185,1968-1973,"15 year old Joe Yabuki is a wondering orphan who stumbles across the worst slumps of Tokyo. There, he encounters a washed up boxer who wants to train Joe after he easily beats up some yakuza. However, Joe does not take the trainer, Tange, very seriously until they end up in jail for fighting the yakuza in the park. Joe then decides to live with Tange but does not show any appreciation to him at all. He then uses the neighborhood children to fake an orphanage fund and get money. Joe is then exposed and is forced 13 months of juvie. While in juvie, he meets a boxer impronsed for assault, Rikiishi Tooru, while making an escape. Rikiishi stops Joe's plan and it starts a rivalry that inspires Joe to take boxing not as a means to get revenge against Rikiishi, but to reform his life and pursue as a career.","drama , slice of life , tournament",sports
Assassination Classroom (manga),Yūsei Matsui,3,0,21,4,25,1.19,0,0,1,59,170,7.9710989,2012-2016,Kunugigaoka Middle School have a special class 3-E. Their sensei is a weird combination of ALIEN and octopus that moves at the speed of Mach-20 and the one who is responsible for destroying the half of the moon which now forever stays at crescent shape. The creature will teach the class 3-E to how to assassinate him before the end of the year when he will destroy the Earth.,"action , comedy , science fiction","alien , assassins , monsters"
Astro Boy (manga),Osamu Tezuka,0,0,23,16,100,4.35,0,0,1,78,287,6.905553341,1952-1968,"In the distant year 2003, Japan is a techonological utopia, and robots are everywhere. One such robot, Tobio, was built by the brilliant Dr. Tenma to replace his dead son. But when it soon becomes apparent that Tobio is an imperfect copy of his departed child, Dr. Tenma throws him out. He is rescued from the scrap heap by the benevolent Professor Ochanomizu, a crusader for robot cival rights. Now the little robot, renamed Astro Boy, is given a mission to defend Japan and the world from all manner of sinister threats. Using his seven super-abilities and 100,000 horsepower worth of strength to battle evil, Astro hopes to set an example to the world of the good which all robots are capeable of.","action , adventure , comedy",mecha
Attack on Titan (manga),Hajime Isayama,1,0,34,12,110,3.23,0,1,1,247,741,8.341571808,2009-2021,"Eren Jaeger lives in city surrounded by monolithic walls. Outside dwell human murdering Titans. For decades members of the Scouting Legion have been the only humans who dared to leave the safety of the walls and gather information on the Titans. Every time they return, many of them are dead. Freedom loving Eren has no greater wish than to join them.","action , fantasy , horror","apocalyptic , conspiracy , military"
Bad Boys (manga),Hiroshi Tanaka,0,1,22,8,55,2.5,0,0,0,1,4,-1,1988-1996,NA,action,action
Bastard!! (manga),Kazushi Hagiwara,3,0,27,24,30,1.11,0,0,1,109,326,6.957803726,1988-2012  ,"Modern civilization and the world was destroyed by the God of Destruction, Anthrasax, in 7 days, and then is sealed. Hundreds of years later, the sorcerer Dark Schneider leads a group in an attempt to control the world. Dark Schneider, in the end, is sealed in the body of a young baby, Rushe Ren Ren. 15 years later, his group, minus Scheider, attempts the same mission by unsealing Anthrasax so they can redo the world. To save the Kingdom of Metallicana, a girl named Yoko releases Dark Schneider from her friend Rushe. Now, Dark Schneider fights his former comrades, but not for good; he fights to protect Yoko, and to have some destructive fun.","adventure , fantasy , supernatural",gods
Berserk (manga),"Kentaro Miura, Kōji Mori, Studio Gaga",0,1,41,33,50,1.25,1,1,1,1408,2569,9.240950584,1989-present,"Guts, the Black Swordsman, wanders around in a mediaeval world slaying demons as they are attracted to a demonic mark on his neck. To his help he has inhuman strength gained from a harsh childhood lived with mercenaries, a gigantic sword, an iron prosthetic left hand, and the elf Puck. In his search for vengeance on the one who gave him the mark, he meets many interesting persons and creatures, all of whom are affected by him in one way or another.","action , drama , fantasy","death , demons , fighting"
