ID,title,rating,nb. votes
1,Berserk (manga),9.24,1408
2,Monster (manga),9.22,905
3,Steel Ball Run (manga),9.12,156
4,Nausicaä of the Valley of the Wind (manga),9.11,712
5,Vinland Saga (manga),9.01,293
6,Yokohama Kaidashi Kikou (manga),9.01,386
7,20th Century Boys (manga),9,621
8,Fullmetal Alchemist (manga),8.97,1624
9,Akira (manga),8.92,597
10,Yotsuba&! (manga),8.9,767
11,Vagabond (manga),8.86,410
12,GTO (manga),8.84,676
13,Goodnight Punpun (manga),8.84,83
14,Showa: A History of Japan (manga),8.84,17
15,Death Note (manga),8.83,2616
16,REAL (manga),8.83,77
17,Phoenix (manga),8.83,73
18,With the Light: Raising an Autistic Child (manga),8.83,38
19,Pluto (manga),8.79,317
20,Mushishi (manga),8.78,267
21,Mobile Suit Gundam: The Origin (manga),8.77,36
22,A Drifting Life (manga),8.76,21
23,Hajime no Ippo (manga),8.76,178
24,Cross Game (manga),8.76,120
25,A Bride's Story (manga),8.75,74
26,Fruits Basket (manga),8.74,1625
27,JoJolion (manga),8.74,51
28,Skip Beat! (manga),8.73,394
29,Buddha (manga),8.73,130
30,"Lone Wolf and Cub (manga, Kazuo Koike)",8.72,146
31,Rurouni Kenshin (manga),8.71,1252
32,A Silent Voice (manga),8.7,130
33,Sanctuary (manga by R. Ikegami),8.7,84
34,Ōoku: The Inner Chambers (manga),8.69,43
35,Blade of the Immortal (manga),8.67,390
36,Glass no Kamen (manga),8.67,38
37,Solanin (manga),8.65,204
38,Message to Adolf (manga),8.65,89
39,"Town of Evening Calm, Country of Cherry Blossoms (manga)",8.63,103
40,Kingdom (manga),8.61,33
41,Erased (manga),8.61,39
42,Saikano (manga),8.59,243
43,Kids on the Slope (manga),8.59,38
44,Genshiken (manga),8.57,429
45,Ode to Kirihito (manga),8.56,83
46,Historie (manga),8.56,58
47,Azumanga Daioh (manga),8.56,913
48,Battle Angel Alita (manga),8.55,481
49,Ashita no Joe (manga),8.54,25
50,Maison Ikkoku (manga),8.54,315
51,NonNonBâ (manga),8.53,8
52,Spirit Circle (manga),8.52,12
53,Space Brothers (manga),8.52,9
54,Planetes (manga),8.51,238
55,(The) Heart of Thomas (manga),8.51,34
56,Stigma (manga),8.51,43
57,Domu (manga),8.5,124
58,Angel Densetsu (manga),8.5,158
59,One Piece (manga),8.49,1337
60,One-Punch Man (manga),8.49,83
61,21st Century Boys (manga),8.49,203
62,NANA (manga),8.49,519
63,Nodame Cantabile (manga),8.48,184
64,Grand Blue Dreaming (manga),8.48,9
65,Black Jack (manga),8.48,119
66,Lucifer and the Biscuit Hammer (manga),8.47,89
67,Bakuman. (manga),8.47,347
68,Hunter × Hunter (manga),8.47,559
69,Wandering Son (manga),8.47,77
70,My Lesbian Experience with Loneliness (manga),8.47,23
71,Dengeki Daisy (manga),8.47,154
72,Beck (manga),8.47,242
73,Blank Canvas: My So-Called Artist’s Journey (manga),8.46,11
74,Twin Spica (manga),8.46,47
75,Ludwig Kakumei (manga),8.46,88
76,(The) World God Only Knows (manga),8.46,160
77,Hana to Akuma (manga),8.46,42
78,Kurosawa the Master of Masturbation (manga),8.45,70
79,Girlfriends (manga),8.45,162
80,Shigurui (manga),8.44,49
81,Ouran High School Host Club (manga),8.44,661
82,Girls' Last Tour (manga),8.44,19
83,Saiyuki Gaiden (manga),8.44,67
84,Yona of the Dawn (manga),8.43,35
85,Claymore (manga),8.43,684
86,Shijō Saikyō no Deshi Kenichi (manga),8.43,198
87,Children of the Sea (manga),8.43,40
88,Ookiku Furikabutte (manga),8.43,34
89,A Town Where You Live (manga),8.42,139
90,Kaguya-sama: Love is War (manga),8.41,19
91,(The) Flowers of Evil (manga),8.41,91
92,(The) World is Mine (manga),8.41,24
93,A Drunken Dream (manga),8.41,28
94,Me and the Devil Blues (manga),8.4,30
95,Slam Dunk (manga),8.4,331
96,Pandora Hearts (manga),8.39,172
97,Misaki de Bus o Orita Hito (manga),8.38,32
98,Gunslinger Girl (manga),8.38,218
99,Ultra Heaven (manga),8.38,11
100,Rough (manga),8.38,58
